weapon_name,name,type,is_altered,armor,melee_atk,shot_atk,melee_def,shot_def,beam_res,phys_res,word_tag_1,word_tag_2,ex_skill_name,ex_skill_type,ex_skill_pierce,ex_skill_power,ex_skill_magazine,ex_skill_cooldown,ex_skill_initial_cooldown,trait_1_type,trait_1_description,trait_2_type,trait_2_description,source,category,large_scale
Altered Super Lacerta Beam Saber [SFreedom],Altered Strike Freedom Gundam,S,Yes,3651,10113,1136,0,0,746,3034,Ace Excl.,Gundam Type,-,-,-,-,-,-,-,Enemy Melee Power Reduction,While "Ace Excl." Enemy Melee power reduced 30%,EX Skill Power,Shot DMG raised 10% EX Skill power boosted 35%,Limited,Dual Saber,No
Altered Super Lacerta Beam Saber [IJustice],Altered Infinity Justice Gundam,T,Yes,1527,11428,0,0,0,1005,2829,Close Combat,High Mobility,-,-,-,-,-,-,-,Initial EX Skill Charge,Out-Fighter Job initial EX Skill charge boosted 20%,Enemy Melee Power Reduction,While "High Mobility" Enemy Melee power reduced 30%,Limited,Twin Blade,No
-,-,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Altered Hyper Beam Saber [ZZ],Altered ZZ Gundam,S,Yes,2846,11105,0,0,1926,494,2145,High Firepower,Gundam Type,Hyper Beam Saber,Beam Melee,D,A,-,21s,3s,-,-,-,-,Exchange,Blade,No
Beam Whip [Anima (RIZE)],Gundam Anima [RIZE],S,No,953,10153,0,0,0,1029,520,Protag.,Close Combat,Beam Whip,Beam Melee,A,D,-,21s,3s,-,-,-,-,Standard,Whip,No
Mace [T],Gundam Barbatos [4th Form],T,No,959,9186,0,0,2152,1043,526,Gundam Type,High Firepower,-,-,-,-,-,-,-,EX Skill power,Back Parts's EX Skill power boosted 30%,-,-,Standard,Lance,No
Sanko-maru,Shin Musha Gundam [SnJ],S,No,967,9893,0,0,0,533,1050,Heavy Armor,Gundam Type,-,-,-,-,-,-,-,Enemy Melee Power Reduction,With Speed attribute(self) Enemy Melee power reduced 30%,-,-,Standard,Lance,No
Mace [P],Gundam Barbatos [4th Form],P,No,967,8878,0,0,1993,1056,533,Protag.,For Desert,Iron Impact,Phys Melee,D,A,-,79s,20s,-,-,-,-,Standard,Lance,No
Beam Javelin,Gundam,T,No,1987,7858,0,0,0,1050,1050,Protag.,Close Combat,Crimson Stinger,Beam Melee,D,A-,-,21s,6s,-,-,-,-,Standard,Lance,No
Beam Glaive,Shenlong Gundam,T,No,2920,3963,0,967,967,1512,1052,Close Combat,For Forest,Hell Jumper,Beam Melee,A-,D,-,30s,3s,-,-,-,-,Standard,Lance,No
Beam Ribbon,Noble Gundam,T,No,967,9910,0,0,0,1056,1056,Mobile Fighter,For Urban Area,Beam Ribbon,Beam Melee,A,D,-,21s,3s,-,-,-,-,Standard,Whip,No
Master Cloth,Master Gundam,P,No,967,9893,0,0,0,533,1050,Mobile Fighter,Close Combat,-,-,-,-,-,-,-,Strong Melee CRIT Rate,In-Fighter Job Strong Melee CRIT rate boosted 30%,-,-,Standard,Whip,No
Rase-Two Kanasaibou [Strike],Gundam Gp-rase-two Ten,S,No,1968,9796,0,0,0,1031,1031,High Firepower,Close Combat,Beam Bazooka Mode,Beam Shot,A+,D,11,60s,0s,-,-,-,-,Standard,Axe,No
GN Ogre Sword Ni Shiki [Twin Blade],Gundam Gp-rase-two Ten,S,No,1968,9796,0,0,0,1031,1031,High Firepower,For Computers,-,-,-,-,-,-,-,Enemy Melee Power Reduction,In-Fighter Job Enemy Melee power reduced 30%,-,-,Standard,Twin Blade,No
GN Ogre Sword Ni Shiki,Gundam Gp-rase-two Ten,S,No,1968,9796,0,0,0,1031,1031,High Firepower,Heavy Armor,-,-,-,-,-,-,-,Melee DMG Output,With Speed attribute(self) Melee DMG output boosted by 35,-,-,Standard,Dual Saber,No
Beam Saber [Full Armor 7th],Full Armor 7th Gundam,P,No,2888,5852,0,0,1968,1031,1480,Heavy Armor,For Space,-,-,-,-,-,-,-,EX Skill Power,While "For Space" EX Skill power boosted 30%,-,-,Standard,Dual Saber,No
Grand Slam,Aile Strike Gundam,T,No,959,8975,0,0,959,526,1039,High Mobility,Close Combat,-,-,-,-,-,-,-,Melee Power,While "High Mobility" Melee power boosted 30%,-,-,Standard,Blade,No
Armor Schneider [Aile Strike],Aile Strike Gundam,T,No,959,8975,0,0,959,526,1039,High Mobility,High Firepower,Serpent Bite,Phys Melee,B+,B-,-,21s,3s,-,-,-,-,Standard,Dual Saber,No
Beam Saber [G-Lucifer],Gundam G-Lucifer,P,No,3376,5874,0,0,172,1250,1250,For Space,High Firepower,-,-,-,-,-,-,-,EX Skill Power,With Power attribute(self) EX Skill power boosted 30%,-,-,Standard,Dual Saber,No
GN Beam Saber [Exia],Gundam Exia,T,No,1170,10009,0,0,0,1153,712,Protag.,High Mobility,-,-,-,-,-,-,-,Enemy Melee Power Reduction,While "Protag." Enemy Melee power reduced 30%,-,-,Standard,Dual Saber,No
Denko-maru,Shin Musha Gundam [SnJ],S,No,967,9893,0,0,0,533,1050,Heavy Armor,Close Combat,Denko-maru,Phys Melee,B,D,-,21s,3s,-,-,-,-,Standard,Twin Blade,No
Twin Beam Trident,Altron Gundam [EW],S,No,967,6876,0,0,1987,533,1050,Close Combat,Gundam Type,Twin Blade Attack,Beam Melee,A-,B-,-,21s,3s,-,-,-,-,Standard,Twin Blade,No
Beam Tomahawk [Moon],Moon Gundam,T,No,967,8869,0,0,0,1512,1052,Gundam Type,Protag.,-,-,-,-,-,-,-,Enemy Melee Power Reduction,With Technique attribute(self) Enemy Melee power reduced 30%,-,-,Standard,Axe,No
Beam Scissors,Gundam Deathscythe Hell [EW],S,No,2916,8855,0,0,0,1050,532,Gundam Type,Close Combat,Death Circle,Beam Melee,A,D,-,21s,3s,-,-,-,-,Standard,Axe,No
Halberd,Gundam Gusion Rebake,P,No,1044,2081,0,1044,1044,793,551,Heavy Armor,For Desert,-,-,-,-,-,-,-,Job Gauge,Defender Job Job Gauge increase boosted 17%,-,-,Standard,Axe,No
Beam Scythe,Gundam Deathscythe,S,No,1983,3953,0,1983,1983,1046,1506,High Mobility,For Base,Deadly Circle,Beam Melee,A,D,-,21s,3s,-,-,-,-,Standard,Axe,No
Wrench Mace,Gundam Barbatos [6th Form],S,No,967,9910,0,0,0,1056,1056,For Urban Area,Ace Excl.,Mace Rush,Phys Melee,D,C-,-,21s,6s,-,-,-,-,Standard,Blade,No
Beam Saber [Uraven],Uraven Gundam,P,No,2880,7195,0,0,0,1029,1472,Long-Range,For Computers,-,-,-,-,-,-,-,EX Skill Power,Melee Attack down 10% EX Skill power boosted 30%,-,-,Standard,Saber,No
Beam Saber [Anima (RIZE)],Gundam Anima [RIZE],S,No,953,10153,0,0,0,1029,520,Protag.,Gundam Type,-,-,-,-,-,-,-,Job Gauge,After 10s pass Boost Job Gauge by 50% once,-,-,Standard,Saber,No
Beam Saber [Wing],Wing Gundam,P,No,1164,9137,0,0,0,1480,1031,High Mobility,High Firepower,-,-,-,-,-,-,-,Initial EX SKill Charge,Long-Shooter Job Initial EX Skill charge boosted 20%,-,-,Standard,Saber,No
Sekiha Tenkyou Sword,Musha Gundam [Final Battle],T,No,953,10349,0,0,0,1041,1046,High Mobility,Close Combat,Twin Phoenix Slash,Phys Melee,D,B+,-,21s,6s,-,-,-,-,Standard,Saber,No
