weapon_name,name,type,is_altered,armor,melee_atk,shot_atk,melee_def,shot_def,beam_res,phys_res,word_tag_1,word_tag_2,ex_skill_name,ex_skill_type,ex_skill_pierce,ex_skill_power,ex_skill_magazine,ex_skill_cooldown,ex_skill_initial_cooldown,trait_1_type,trait_1_description,trait_2_type,trait_2_description,source,category,large_scale
GN Sword Rifle Mode,Gundam Exia,T,No,3743,0,5871,0,0,1491,1039,Protag.,For Desert,-,-,-,-,-,-,-,Initial EX Skill Charge,In-Fighter Job Initial EX Skill charge boosted 20%,-,-,Standard,Rifle,No
Buster Rifle,Wing Gundam,P,No,1164,0,9969,0,0,1031,522,High Mobility,High Power,Max Output Buster Rifle,Beam Shot,D,B,-,79s,20s,-,-,-,-,Standard,Rifle,No
Beam Machine Gun [X Divider],Gundam X Divider,P,No,2920,0,5912,1989,0,1512,533,Mid-Range,For Forest,-,-,-,-,-,-,-,Initial EX Skill Charge,Out-Fighter Job Initial EX Skill charge boosted 20%,-,-,Standard,Machine Gun,No
Rifle [Gundam Astaroth],Gundam Astaroth,P,No,1996,0,4926,0,1996,729,729,Protag.,Close Combat,-,-,-,-,-,-,-,Shooting DMG Taken Reduction,With Blade category equipped Shooting DMG taken reduced by 35,-,-,Standard,Machine Gun,No
Assault Rifle,Atlas Gundam,P,No,1983,0,7850,0,0,1506,530,Amphib.,High Mobility,-,-,-,-,-,-,-,Shooting DMG Output,With Power attribute(self) Shooting DMG output boosted by 35,-,-,Standard,Machine Gun,No
Amazing Long-Range Rifle,Kampfer Amazing,T,No,1178,0,9045,1993,0,725,725,High Mobility,High Firepower,-,-,-,-,-,-,-,EX Skill Power,After 10s pass EX Skill power boosted 30%,-,-,Standard,Long Rifle,No
Tanegashima Rifle,Musha Gundam [Super Hagane Ver.],T,No,963,0,8842,0,0,1046,1046,Gundam Type,For Computers,-,-,-,-,-,-,-,Job Gauge,Before 60s pass Job Gauge increase boosted 17%,-,-,Standard,Long Rifle,No
GN Sniper Rifle II,Cherudim Gundam,S,No,2152,0,10222,0,0,1495,1043,Mid-Range,Long-Range,Sniping,Beam Shot,B+,B-,-,21s,3s,-,-,-,-,Standard,Long Rifle,No
Beam Shoot Rifle U7,Uraven Gundam,P,No,953,0,9952,0,1966,520,1029,Long-Range,Protag.,Sniping,Beam Shot,B+,B-,-,21s,3s,-,-,-,-,Standard,Long Rifle,No
Atomic Bazooka,Gundam Gp02a [Physalis],P,No,967,0,9893,0,0,533,1050,Zeon,For Base,Atomic Bazooka,Phys Shot,A+,C-,-,79s,12s,-,-,-,-,Standard,Bazooka,No
